wellID,replicate,family,media,strain,timeTidy,data
blank_0,1,blank,PBS,blank,29.43272222,0.084700003
blank_0,1,blank,PBS,blank,29.61002778,0.085299999
blank_0,1,blank,PBS,blank,29.78733333,0.084899999
blank_0,1,blank,PBS,blank,29.96463889,0.084899999
blank_0,1,blank,PBS,blank,30.14194444,0.085000001
blank_0,1,blank,PBS,blank,30.31925,0.085100003
blank_0,1,blank,PBS,blank,30.49655556,0.085100003
blank_0,1,blank,PBS,blank,30.67386111,0.084399998
blank_0,1,blank,PBS,blank,30.85116667,0.084799998
blank_0,1,blank,PBS,blank,31.02847222,0.084200002
blank_0,1,blank,PBS,blank,31.20577778,0.084600002
blank_0,1,blank,PBS,blank,31.38308333,0.0845
blank_0,1,blank,PBS,blank,31.56038889,0.084299996
blank_0,1,blank,PBS,blank,31.73769444,0.085600004
blank_0,1,blank,PBS,blank,31.915,0.084600002
blank_0,1,blank,PBS,blank,32.09230556,0.085000001
blank_0,1,blank,PBS,blank,32.26961111,0.085000001
blank_0,1,blank,PBS,blank,32.44691667,0.084799998
blank_0,1,blank,PBS,blank,32.62422222,0.084399998
blank_0,1,blank,PBS,blank,32.80152778,0.084899999
blank_0,1,blank,PBS,blank,32.97883333,0.0845
blank_0,1,blank,PBS,blank,33.15613889,0.084399998
blank_0,1,blank,PBS,blank,33.33344444,0.085199997
blank_0,1,blank,PBS,blank,33.51075,0.084600002
blank_0,1,blank,PBS,blank,33.68805556,0.084700003
blank_0,1,blank,PBS,blank,33.86536111,0.0845
blank_0,1,blank,PBS,blank,34.04266667,0.084700003
blank_0,1,blank,PBS,blank,34.21997222,0.084600002
blank_0,1,blank,PBS,blank,34.39727778,0.085199997
blank_0,1,blank,PBS,blank,34.57458333,0.084899999
blank_0,1,blank,PBS,blank,34.75188889,0.0845
blank_0,1,blank,PBS,blank,34.92919444,0.085000001
blank_0,1,blank,PBS,blank,35.1065,0.0845
blank_0,1,blank,PBS,blank,35.28380556,0.084600002
blank_0,1,blank,PBS,blank,35.46111111,0.084600002
blank_0,1,blank,PBS,blank,35.63841667,0.0845
blank_0,1,blank,PBS,blank,35.81572222,0.084700003
blank_0,1,blank,PBS,blank,35.99302778,0.0845
blank_0,1,blank,PBS,blank,36.17033333,0.085199997
blank_0,1,blank,PBS,blank,36.34763889,0.084899999
blank_0,1,blank,PBS,blank,36.52494444,0.084600002
blank_0,1,blank,PBS,blank,36.70225,0.084700003
blank_0,1,blank,PBS,blank,36.87955556,0.084600002
blank_0,1,blank,PBS,blank,37.05686111,0.085299999
blank_0,1,blank,PBS,blank,37.23416667,0.084700003
blank_0,1,blank,PBS,blank,37.41147222,0.085000001
blank_0,1,blank,PBS,blank,37.58877778,0.085500002
blank_0,1,blank,PBS,blank,37.76608333,0.084799998
blank_0,1,blank,PBS,blank,37.94338889,0.084899999
blank_0,1,blank,PBS,blank,38.12069444,0.084600002
blank_0,1,blank,PBS,blank,38.298,0.0845
blank_0,1,blank,PBS,blank,38.47530556,0.085000001
blank_0,1,blank,PBS,blank,38.65261111,0.084399998
blank_0,1,blank,PBS,blank,38.82991667,0.084899999
blank_0,1,blank,PBS,blank,39.00722222,0.084799998
blank_0,1,blank,PBS,blank,39.18452778,0.0845
blank_0,1,blank,PBS,blank,39.36183333,0.085000001
blank_0,1,blank,PBS,blank,39.53913889,0.084799998
blank_0,1,blank,PBS,blank,39.71644444,0.084700003
blank_0,1,blank,PBS,blank,39.89375,0.084399998
blank_0,1,blank,PBS,blank,40.07105556,0.084799998
blank_0,1,blank,PBS,blank,40.24836111,0.084700003
blank_0,1,blank,PBS,blank,40.42566667,0.084799998
blank_0,1,blank,PBS,blank,40.60297222,0.084799998
blank_0,1,blank,PBS,blank,40.78027778,0.084899999
blank_0,1,blank,PBS,blank,40.95758333,0.0845
blank_0,1,blank,PBS,blank,41.13488889,0.084700003
blank_0,1,blank,PBS,blank,41.31219444,0.084600002
blank_0,1,blank,PBS,blank,41.4895,0.084700003
blank_0,1,blank,PBS,blank,41.66680556,0.084799998
blank_0,1,blank,PBS,blank,41.84411111,0.084799998
blank_0,1,blank,PBS,blank,42.02141667,0.084799998
blank_0,1,blank,PBS,blank,42.19872222,0.084600002
blank_0,1,blank,PBS,blank,42.37602778,0.084700003
blank_0,1,blank,PBS,blank,42.55333333,0.084899999
blank_0,1,blank,PBS,blank,42.73063889,0.084799998
blank_0,1,blank,PBS,blank,42.90794444,0.084899999
blank_0,1,blank,PBS,blank,43.08525,0.084899999
blank_0,1,blank,PBS,blank,43.26255556,0.084700003
blank_0,1,blank,PBS,blank,43.43986111,0.084700003
blank_0,1,blank,PBS,blank,43.61716667,0.084799998
blank_0,1,blank,PBS,blank,43.79447222,0.084799998
blank_0,1,blank,PBS,blank,43.97177778,0.084700003
blank_0,1,blank,PBS,blank,44.14908333,0.0845
blank_0,1,blank,PBS,blank,44.32638889,0.084299996
blank_0,1,blank,PBS,blank,44.50369444,0.084700003
blank_0,1,blank,PBS,blank,44.681,0.084700003
blank_0,1,blank,PBS,blank,44.85830556,0.084799998
blank_0,1,blank,PBS,blank,45.03561111,0.084700003
blank_0,1,blank,PBS,blank,45.21291667,0.084700003
blank_0,1,blank,PBS,blank,45.39022222,0.084899999
blank_0,1,blank,PBS,blank,45.56752778,0.084700003
blank_0,1,blank,PBS,blank,45.74483333,0.084700003
blank_0,1,blank,PBS,blank,45.92213889,0.084799998
blank_0,1,blank,PBS,blank,46.09944444,0.084700003
blank_0,1,blank,PBS,blank,46.27675,0.084700003
blank_0,1,blank,PBS,blank,46.45405556,0.084700003
blank_0,1,blank,PBS,blank,46.63136111,0.084799998
blank_0,1,blank,PBS,blank,46.80866667,0.084799998
blank_0,1,blank,PBS,blank,46.98597222,0.084700003
blank_0,1,blank,PBS,blank,47.16327778,0.084899999
blank_0,1,blank,PBS,blank,47.34058333,0.084799998
blank_0,1,blank,PBS,blank,47.51788889,0.084899999
blank_0,1,blank,PBS,blank,47.69519444,0.084799998
blank_0,1,blank,PBS,blank,47.8725,0.084899999
blank_0,1,blank,PBS,blank,48.04980556,0.084799998
blank_0,2,blank,PBS,blank,0,0.085199997
blank_0,2,blank,PBS,blank,0.177305556,0.084899999
blank_0,2,blank,PBS,blank,0.354611111,0.084100001
blank_0,2,blank,PBS,blank,0.531916667,0.085100003
blank_0,2,blank,PBS,blank,0.709222222,0.084700003
blank_0,2,blank,PBS,blank,0.886527778,0.085699998
blank_0,2,blank,PBS,blank,1.063833333,0.084600002
blank_0,2,blank,PBS,blank,1.241138889,0.085000001
blank_0,2,blank,PBS,blank,1.418444444,0.084700003
blank_0,2,blank,PBS,blank,1.59575,0.084100001
blank_0,2,blank,PBS,blank,1.773055556,0.084200002
blank_0,2,blank,PBS,blank,1.950361111,0.084799998
blank_0,2,blank,PBS,blank,2.127666667,0.0845
blank_0,2,blank,PBS,blank,2.304972222,0.084799998
blank_0,2,blank,PBS,blank,2.482277778,0.084200002
blank_0,2,blank,PBS,blank,2.659583333,0.084200002
blank_0,2,blank,PBS,blank,2.836888889,0.084600002
blank_0,2,blank,PBS,blank,3.014194444,0.084299996
blank_0,2,blank,PBS,blank,3.1915,0.0845
blank_0,2,blank,PBS,blank,3.368805556,0.085500002
blank_0,2,blank,PBS,blank,3.546111111,0.084200002
blank_0,2,blank,PBS,blank,3.723416667,0.084299996
blank_0,2,blank,PBS,blank,3.900722222,0.084799998
blank_0,2,blank,PBS,blank,4.078027778,0.084799998
blank_0,2,blank,PBS,blank,4.255333333,0.085299999
blank_0,2,blank,PBS,blank,4.432638889,0.084899999
blank_0,2,blank,PBS,blank,4.609944444,0.084899999
blank_0,2,blank,PBS,blank,4.78725,0.084700003
blank_0,2,blank,PBS,blank,4.964555556,0.084200002
blank_0,2,blank,PBS,blank,5.141861111,0.084700003
blank_0,2,blank,PBS,blank,5.319166667,0.084700003
blank_0,2,blank,PBS,blank,5.496472222,0.084899999
blank_0,2,blank,PBS,blank,5.673777778,0.084600002
blank_0,2,blank,PBS,blank,5.851083333,0.084299996
blank_0,2,blank,PBS,blank,6.028388889,0.084700003
blank_0,2,blank,PBS,blank,6.205694444,0.085100003
blank_0,2,blank,PBS,blank,6.383,0.085000001
blank_0,2,blank,PBS,blank,6.560305556,0.085600004
blank_0,2,blank,PBS,blank,6.737611111,0.084700003
blank_0,2,blank,PBS,blank,6.914916667,0.084700003
blank_0,2,blank,PBS,blank,7.092222222,0.085199997
blank_0,2,blank,PBS,blank,7.269527778,0.084799998
blank_0,2,blank,PBS,blank,7.446833333,0.085299999
blank_0,2,blank,PBS,blank,7.624138889,0.084600002
blank_0,2,blank,PBS,blank,7.801444444,0.084600002
blank_0,2,blank,PBS,blank,7.97875,0.085000001
blank_0,2,blank,PBS,blank,8.156055556,0.085100003
blank_0,2,blank,PBS,blank,8.333361111,0.085199997
blank_0,2,blank,PBS,blank,8.510666667,0.085100003
blank_0,2,blank,PBS,blank,8.687972222,0.084700003
blank_0,2,blank,PBS,blank,8.865277778,0.085100003
blank_0,2,blank,PBS,blank,9.042583333,0.085000001
blank_0,2,blank,PBS,blank,9.219888889,0.084600002
blank_0,2,blank,PBS,blank,9.397194444,0.085500002
blank_0,2,blank,PBS,blank,9.5745,0.085500002
blank_0,2,blank,PBS,blank,9.751805556,0.084600002
blank_0,2,blank,PBS,blank,9.929111111,0.085100003
blank_0,2,blank,PBS,blank,10.10641667,0.085600004
blank_0,2,blank,PBS,blank,10.28372222,0.085299999
blank_0,2,blank,PBS,blank,10.46102778,0.085199997
blank_0,2,blank,PBS,blank,10.63833333,0.085500002
blank_0,2,blank,PBS,blank,10.81563889,0.085299999
blank_0,2,blank,PBS,blank,10.99294444,0.085199997
blank_0,2,blank,PBS,blank,11.17025,0.085000001
blank_0,2,blank,PBS,blank,11.34755556,0.085000001
blank_0,2,blank,PBS,blank,11.52486111,0.085299999
blank_0,2,blank,PBS,blank,11.70216667,0.084799998
blank_0,2,blank,PBS,blank,11.87947222,0.085100003
blank_0,2,blank,PBS,blank,12.05677778,0.0845
blank_0,2,blank,PBS,blank,12.23408333,0.085100003
blank_0,2,blank,PBS,blank,12.41138889,0.085500002
blank_0,2,blank,PBS,blank,12.58869444,0.085199997
blank_0,2,blank,PBS,blank,12.766,0.085000001
blank_0,2,blank,PBS,blank,12.94330556,0.0854
blank_0,2,blank,PBS,blank,13.12061111,0.084899999
blank_0,2,blank,PBS,blank,13.29791667,0.085500002
blank_0,2,blank,PBS,blank,13.47522222,0.085100003
