expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank1,blank,GlcNAc,1,30.34552778,0.08528,-0.00071
blank1,blank,GlcNAc,1,30.53055556,0.085189999,-0.000800001
blank1,blank,GlcNAc,1,30.71558333,0.08525,-0.00074
blank1,blank,GlcNAc,1,30.90061111,0.085309999,-0.00068
blank1,blank,GlcNAc,1,31.08563889,0.08518,-0.00081
blank1,blank,GlcNAc,1,31.27066667,0.08526,-0.00073
blank1,blank,GlcNAc,1,31.45569444,0.085239999,-0.000750001
blank1,blank,GlcNAc,1,31.64072222,0.085309999,-0.000680001
blank1,blank,GlcNAc,1,31.82575,0.08532,-0.00067
blank1,blank,GlcNAc,1,32.01077778,0.08535,-0.00064
blank1,blank,GlcNAc,1,32.19580556,0.08532,-0.000669999
blank1,blank,GlcNAc,1,32.38083333,0.08523,-0.00076
blank1,blank,GlcNAc,1,32.56586111,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,32.75088889,0.085229999,-0.000760001
blank1,blank,GlcNAc,1,32.93591667,0.085269999,-0.000720001
blank1,blank,GlcNAc,1,33.12094444,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,33.30597222,0.0853,-0.00069
blank1,blank,GlcNAc,1,33.491,0.085259999,-0.00073
blank1,blank,GlcNAc,1,33.67602778,0.08535,-0.00064
blank1,blank,GlcNAc,1,33.86105556,0.085400001,-0.000589999
blank1,blank,GlcNAc,1,34.04608333,0.08535,-0.00064
blank1,blank,GlcNAc,1,34.23111111,0.08527,-0.00072
blank1,blank,GlcNAc,1,34.41613889,0.08525,-0.00074
blank1,blank,GlcNAc,1,34.60116667,0.085309999,-0.00068
blank1,blank,GlcNAc,1,34.78619444,0.085259999,-0.00073
blank1,blank,GlcNAc,1,34.97122222,0.085269999,-0.000720001
blank1,blank,GlcNAc,1,35.15625,0.0854,-0.00059
blank1,blank,GlcNAc,1,35.34127778,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,35.52630556,0.085289999,-0.000700001
blank1,blank,GlcNAc,1,35.71133333,0.08537,-0.000619999
blank1,blank,GlcNAc,1,35.89636111,0.08535,-0.00064
blank1,blank,GlcNAc,1,36.08138889,0.08535,-0.00064
blank1,blank,GlcNAc,1,36.26641667,0.08535,-0.00064
blank1,blank,GlcNAc,1,36.45144444,0.08536,-0.000629999
blank1,blank,GlcNAc,1,36.63647222,0.08535,-0.00064
blank1,blank,GlcNAc,1,36.8215,0.08527,-0.00072
blank1,blank,GlcNAc,1,37.00652778,0.08546,-0.00053
blank1,blank,GlcNAc,1,37.19155556,0.08528,-0.00071
blank1,blank,GlcNAc,1,37.37658333,0.085299999,-0.000690001
blank1,blank,GlcNAc,1,37.56161111,0.085400001,-0.000589999
blank1,blank,GlcNAc,1,37.74663889,0.0853,-0.00069
blank1,blank,GlcNAc,1,37.93166667,0.085480001,-0.000509999
blank1,blank,GlcNAc,1,38.11669444,0.08533,-0.00066
blank1,blank,GlcNAc,1,38.30172222,0.085400001,-0.000589999
blank1,blank,GlcNAc,1,38.48675,0.085309999,-0.00068
blank1,blank,GlcNAc,1,38.67177778,0.08528,-0.00071
blank1,blank,GlcNAc,1,38.85680556,0.08536,-0.000629999
blank1,blank,GlcNAc,1,39.04183333,0.085440001,-0.000549999
blank1,blank,GlcNAc,1,39.22686111,0.085360001,-0.000629999
blank1,blank,GlcNAc,1,39.41188889,0.08533,-0.00066
blank1,blank,GlcNAc,1,39.59691667,0.085390001,-0.000599999
blank1,blank,GlcNAc,1,39.78194444,0.085380001,-0.000609999
blank1,blank,GlcNAc,1,39.96697222,0.08536,-0.000629999
blank1,blank,GlcNAc,1,40.152,0.085430001,-0.000559999
blank1,blank,GlcNAc,1,40.33702778,0.085380001,-0.000609999
blank1,blank,GlcNAc,1,40.52205556,0.085400001,-0.000589999
blank1,blank,GlcNAc,1,40.70708333,0.085410001,-0.000579999
blank1,blank,GlcNAc,1,40.89211111,0.08534,-0.00065
blank1,blank,GlcNAc,1,41.07713889,0.085420001,-0.000569999
blank1,blank,GlcNAc,1,41.26216667,0.08532,-0.00067
blank1,blank,GlcNAc,1,41.44719444,0.085430001,-0.000559998
blank1,blank,GlcNAc,1,41.63222222,0.08539,-0.0006
blank1,blank,GlcNAc,1,41.81725,0.085410001,-0.000579999
blank1,blank,GlcNAc,1,42.00227778,0.085430001,-0.000559999
blank1,blank,GlcNAc,1,42.18730556,0.085410001,-0.000579999
blank1,blank,GlcNAc,1,42.37233333,0.085470001,-0.000519998
blank1,blank,GlcNAc,1,42.55736111,0.085330001,-0.000659999
blank1,blank,GlcNAc,1,42.74238889,0.08536,-0.000629999
blank1,blank,GlcNAc,1,42.92741667,0.085420001,-0.000569998
blank1,blank,GlcNAc,1,43.11244444,0.085420001,-0.000569998
blank1,blank,GlcNAc,1,43.29747222,0.08535,-0.00064
blank1,blank,GlcNAc,1,43.4825,0.085440002,-0.000549998
blank1,blank,GlcNAc,1,43.66752778,0.085380001,-0.000609999
blank1,blank,GlcNAc,1,43.85255556,0.08545,-0.000539999
blank1,blank,GlcNAc,1,44.03758333,0.08536,-0.000629999
blank1,blank,GlcNAc,1,44.22261111,0.085480002,-0.000509998
blank1,blank,GlcNAc,1,44.40763889,0.08535,-0.00064
blank1,blank,GlcNAc,1,44.59266667,0.085360001,-0.000629999
blank1,blank,GlcNAc,1,44.77769444,0.08539,-0.0006
blank1,blank,GlcNAc,1,44.96272222,0.08536,-0.000629999
blank1,blank,GlcNAc,1,45.14775,0.08536,-0.000629999
blank1,blank,GlcNAc,1,45.33277778,0.085410001,-0.000579999
blank1,blank,GlcNAc,1,45.51780556,0.085420001,-0.000569998
blank1,blank,GlcNAc,1,45.70283333,0.08549,-0.0005
blank1,blank,GlcNAc,1,45.88786111,0.085310001,-0.000679999
blank1,blank,GlcNAc,1,46.07288889,0.08537,-0.000619999
blank1,blank,GlcNAc,1,46.25791667,0.08537,-0.000619999
blank1,blank,GlcNAc,1,46.44294444,0.08534,-0.00065
blank1,blank,GlcNAc,1,46.62797222,0.085430001,-0.000559999
blank1,blank,GlcNAc,1,46.813,0.085380001,-0.000609999
blank1,blank,GlcNAc,1,46.99802778,0.08545,-0.00054
blank1,blank,GlcNAc,1,47.18305556,0.085420001,-0.000569999
blank1,blank,GlcNAc,1,47.36808333,0.08535,-0.00064
