wellID,replicate,media,expLabel,timeTidy,data
Day0Anc_1,1,LB,Day0Anc,10.46102778,0.83099997
Day0Anc_1,1,LB,Day0Anc,10.63833333,0.845099986
Day0Anc_1,1,LB,Day0Anc,10.81563889,0.854900002
Day0Anc_1,1,LB,Day0Anc,10.99294444,0.862500012
Day0Anc_1,1,LB,Day0Anc,11.17025,0.878700018
Day0Anc_1,1,LB,Day0Anc,11.34755556,0.882499993
Day0Anc_1,1,LB,Day0Anc,11.52486111,0.896200001
Day0Anc_1,1,LB,Day0Anc,11.70216667,0.907500029
Day0Anc_1,1,LB,Day0Anc,11.87947222,0.914200008
Day0Anc_1,1,LB,Day0Anc,12.05677778,0.92110002
Day0Anc_1,1,LB,Day0Anc,12.23408333,0.930700004
Day0Anc_1,1,LB,Day0Anc,12.41138889,0.940299988
Day0Anc_1,1,LB,Day0Anc,12.58869444,0.943499982
Day0Anc_1,1,LB,Day0Anc,12.766,0.949800014
Day0Anc_1,1,LB,Day0Anc,12.94330556,0.959399998
Day0Anc_1,1,LB,Day0Anc,13.12061111,0.965300024
Day0Anc_1,1,LB,Day0Anc,13.29791667,0.969699979
Day0Anc_1,1,LB,Day0Anc,13.47522222,0.977199972
Day0Anc_1,1,LB,Day0Anc,13.65252778,0.982500017
Day0Anc_1,1,LB,Day0Anc,13.82983333,0.988900006
Day0Anc_1,1,LB,Day0Anc,14.00713889,0.993499994
Day0Anc_1,1,LB,Day0Anc,14.18444444,1.000100017
Day0Anc_1,1,LB,Day0Anc,14.36175,1.005100012
Day0Anc_1,1,LB,Day0Anc,14.53905556,1.014899969
Day0Anc_1,1,LB,Day0Anc,14.71636111,1.018399954
Day0Anc_1,1,LB,Day0Anc,14.89366667,1.022500038
Day0Anc_1,1,LB,Day0Anc,15.07097222,1.028300047
Day0Anc_1,1,LB,Day0Anc,15.24827778,1.035699964
Day0Anc_1,1,LB,Day0Anc,15.42558333,1.037700057
Day0Anc_1,1,LB,Day0Anc,15.60288889,1.045099974
Day0Anc_1,1,LB,Day0Anc,15.78019444,1.050400019
Day0Anc_1,1,LB,Day0Anc,15.9575,1.057600021
Day0Anc_1,1,LB,Day0Anc,16.13480556,1.063500047
Day0Anc_1,1,LB,Day0Anc,16.31211111,1.067600012
Day0Anc_1,1,LB,Day0Anc,16.48941667,1.072100043
Day0Anc_1,1,LB,Day0Anc,16.66672222,1.078799963
Day0Anc_1,1,LB,Day0Anc,16.84402778,1.080199957
Day0Anc_1,1,LB,Day0Anc,17.02133333,1.085299969
