strain,carbonSource,Area_Under_Curve,Growth
Day20C2,i-Erythritol,-7.863300055265419,FALSE
Day20C2,Glucuronamide,-7.603600095,FALSE
Day20C2,Xylitol,-7.4132998436689315,FALSE
Day20C2,Lactitol,-7.359399944543856,FALSE
Day20C2,Phenylethylamine,-7.019199970000001,FALSE
Day20C2,Maltose,-6.9566000930000005,FALSE
Day20C2,beta-Methyl-D-Galactoside,-6.78789997100832,FALSE
Day20C2,D-Fucose,-6.718400061130528,FALSE
Day20C2,Lactulose,-6.712299956,FALSE
Day20C2,Acetamide,-6.648300036787992,FALSE
Day20C2,Arbutin,-6.532199963927273,FALSE
Day20C2,L-Galactonic Acid-gamma-Lactone,-6.522600077,FALSE
Day20C2,N-Acetyl-D-Glucosaminitol,-6.374399960041063,FALSE
Day20C2,Maltotriose,-6.222400110000001,FALSE
Day20C2,Chondroitin Sulfate C,-6.16279996931554,FALSE
Day20C2,beta-Methyl-D-Xyloside,-6.0890999883413315,FALSE
Day20C2,D-Cellobiose,-6.080399987000001,FALSE
Day20C2,D-Saccharic Acid,-5.630000207000001,FALSE
Day20C2,D-Threonine,-5.363000158,FALSE
Day20C2,"D-Ribono-1,4-Lactone",-5.27930003404617,FALSE
Day20C2,alpha-Cyclodextrin,-5.177800059318535,FALSE
Day20C2,3-Hydroxy 2-Butanone,-5.085500076413155,FALSE
Day20C2,"2,3-Butanone",-5.040600031614305,FALSE
Day20C2,Stachyose,-4.944699928164489,FALSE
Day20C2,D-Melibiose,-4.917200090000001,FALSE
Day20C2,alpha-Methyl-D-Mannoside,-4.845500007271777,FALSE
Day20C2,Dulcitol,-4.637199993,FALSE
Day20C2,2-Deoxy Adenosine,-4.554500160000001,FALSE
Day20C2,Adonitol,-4.231600133000001,FALSE
Day20C2,D-Glucuronic Acid,-4.149700013,FALSE
Day20C2,a-Methyl-D-Glucoside,-4.063599884510043,FALSE
Day20C2,D-Mannose,-3.957700185,FALSE
Day20C2,m-Tartaric Acid,-3.754500116,FALSE
Day20C2,Maltitol,-3.427900090813635,FALSE
Day20C2,D-Tartaric Acid,-3.329100012779233,FALSE
